TrainFirstMulThenAdd,TrainGaussStdMul,TrainGaussStdAdd,InfFirstMulThenAdd,InfGaussStdMul,InfGaussStdAdd,Accuracy
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,1668100537.2000556,9.97
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,1668100537.2000556,10.03
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,1668100537.2000556,9.96
True,0.5994842503189408,3593.8136638046253,False,46.41588833612773,1668100537.2000556,9.92
True,0.5994842503189408,3593.8136638046253,False,3593.8136638046253,1668100537.2000556,10.08
True,0.5994842503189408,3593.8136638046253,False,278255.94022071257,1668100537.2000556,10.12
True,0.5994842503189408,3593.8136638046253,False,21544346.90031878,1668100537.2000556,9.88
True,0.5994842503189408,3593.8136638046253,False,1668100537.2000556,1668100537.2000556,10.07
True,0.5994842503189408,3593.8136638046253,False,129154966501.48827,1668100537.2000556,10.0
True,0.5994842503189408,3593.8136638046253,False,10000000000000.0,1668100537.2000556,9.94
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,129154966501.48827,10.01
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,129154966501.48827,10.02
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,129154966501.48827,9.93
True,0.5994842503189408,3593.8136638046253,False,46.41588833612773,129154966501.48827,10.09
True,0.5994842503189408,3593.8136638046253,False,3593.8136638046253,129154966501.48827,9.99
True,0.5994842503189408,3593.8136638046253,False,278255.94022071257,129154966501.48827,10.05
True,0.5994842503189408,3593.8136638046253,False,21544346.90031878,129154966501.48827,10.09
True,0.5994842503189408,3593.8136638046253,False,1668100537.2000556,129154966501.48827,10.03
True,0.5994842503189408,3593.8136638046253,False,129154966501.48827,129154966501.48827,9.88
True,0.5994842503189408,3593.8136638046253,False,10000000000000.0,129154966501.48827,10.04
True,0.5994842503189408,3593.8136638046253,False,9.999999999999999e-05,10000000000000.0,9.98
True,0.5994842503189408,3593.8136638046253,False,0.00774263682681127,10000000000000.0,9.95
True,0.5994842503189408,3593.8136638046253,False,0.5994842503189408,10000000000000.0,10.02
